,Region,Wheat Tonnes,Wheat Hectares,Barley Tonnes,Barley Hectares,Maize grain Tonnes,Maize grain Hectares,Year,September Total Rainfall (mm),October Total Rainfall (mm),November Total Rainfall (mm),December Total Rainfall (mm),January Total Rainfall (mm),February Total Rainfall (mm),March Total Rainfall (mm),April Total Rainfall (mm),May Total Rainfall (mm),June Total Rainfall (mm),July Total Rainfall (mm),August Total Rainfall (mm),September Wet Day - 1mm or more of Rain (day),October Wet Day - 1mm or more of Rain (day),November Wet Day - 1mm or more of Rain (day),December Wet Day - 1mm or more of Rain (day),January Wet Day - 1mm or more of Rain (day),February Wet Day - 1mm or more of Rain (day),March Wet Day - 1mm or more of Rain (day),April Wet Day - 1mm or more of Rain (day),May Wet Day - 1mm or more of Rain (day),June Wet Day - 1mm or more of Rain (day),July Wet Day - 1mm or more of Rain (day),August Wet Day - 1mm or more of Rain (day),September Mean Air Temperature (Celsius),October Mean Air Temperature (Celsius),November Mean Air Temperature (Celsius),December Mean Air Temperature (Celsius),January Mean Air Temperature (Celsius),February Mean Air Temperature (Celsius),March Mean Air Temperature (Celsius),April Mean Air Temperature (Celsius),May Mean Air Temperature (Celsius),June Mean Air Temperature (Celsius),July Mean Air Temperature (Celsius),August Mean Air Temperature (Celsius),September Total Sunshine (hrs),October Total Sunshine (hrs),November Total Sunshine (hrs),December Total Sunshine (hrs),January Total Sunshine (hrs),February Total Sunshine (hrs),March Total Sunshine (hrs),April Total Sunshine (hrs),May Total Sunshine (hrs),June Total Sunshine (hrs),July Total Sunshine (hrs),August Total Sunshine (hrs),September Mean Wind Speed (M/Sec),October Mean Wind Speed (M/Sec),November Mean Wind Speed (M/Sec),December Mean Wind Speed (M/Sec),January Mean Wind Speed (M/Sec),February Mean Wind Speed (M/Sec),March Mean Wind Speed (M/Sec),April Mean Wind Speed (M/Sec),May Mean Wind Speed (M/Sec),June Mean Wind Speed (M/Sec),July Mean Wind Speed (M/Sec),August Mean Wind Speed (M/Sec),time_step,AMN_soil_type,Bulk_density_soil_type,TotalC_soil_type,TotalN_soil_type,AMN_trace_element,Bulk_density_trace_element,TotalC_trace_element,TotalN_trace_element,AMN_value,Bulk_density_value,TotalC_value,TotalN_value,AMN_target_min,Bulk_density_target_min,TotalC_target_min,TotalN_target_min,Bulk_density_target_max,TotalN_target_max,AMN_meets_target_min,Bulk_density_meets_target_min,TotalC_meets_target_min,TotalN_meets_target_min,Bulk_density_meets_target_max,TotalN_meets_target_max,AMN_within_target_range,Bulk_density_within_target_range,TotalC_within_target_range,TotalN_within_target_range,Fertilizer Tonnes Applied
85,Taranaki,0.0,0.0,1200.0,100.0,300.0,0.0,2021,177.4,224.4,84.8,329.2,86.0,100.8,190.4,79.4,240.4,197.8,301.4,247.8,14.0,17.0,9.0,14.0,8.0,4.0,7.0,11.0,12.0,12.0,14.0,12.0,9.1,12.2,14.3,17.1,16.3,16.1,14.9,13.2,10.6,9.9,8.4,8.6,169.2,157.4,201.7,176.9,249.3,249.5,213.8,166.8,130.6,87.4,125.8,147.8,3.6,3.1,3.1,3.2,2.6,2.8,2.9,2.6,3.2,2.7,3.4,3.2,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,125.0995865,1.023333333,5.785668617,0.525916787,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,True,NO_TARGET_MAX,True,NO_TARGET_MAX,True,100503.0
86,Taranaki,0.0,0.0,0.0,0.0,1500.0,100.0,2022,192.2,132.8,277.0,161.4,0.0,449.6,91.2,55.4,218.8,228.0,355.0,396.6,18.0,12.0,18.0,14.0,0.0,9.0,7.0,7.0,11.0,20.0,19.0,13.0,10.1,11.3,14.6,16.3,17.3,17.7,15.7,13.9,11.9,9.7,9.5,9.4,129.4,178.8,0.0,217.8,0.0,174.3,238.9,203.4,141.3,100.7,88.1,114.2,2.9,3.0,3.1,2.6,2.8,3.3,3.2,2.7,2.7,3.2,3.4,3.6,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,125.0995865,1.023333333,5.785668617,0.525916787,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,True,NO_TARGET_MAX,True,NO_TARGET_MAX,True,100598.0
87,Taranaki,100.0,0.0,400.0,100.0,0.0,0.0,2023,181.6,111.4,138.6,140.8,176.2,149.4,166.6,233.8,342.8,72.4,57.6,125.6,16.0,14.0,13.0,13.0,12.0,10.0,10.0,11.0,19.0,8.0,13.0,13.0,10.6,11.2,12.7,15.9,17.1,16.4,14.2,13.6,12.4,9.1,8.9,7.0,175.1,174.7,172.8,170.5,0.0,135.7,207.1,146.7,86.4,127.9,97.7,137.7,3.6,3.2,3.2,3.1,2.9,3.2,2.6,2.8,3.4,2.6,3.8,2.4,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,125.0995865,1.023333333,5.785668617,0.525916787,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,True,NO_TARGET_MAX,True,NO_TARGET_MAX,True,114987.0
91,Tasman,0.0,0.0,0.0,0.0,1600.0,100.0,2019,100.2,52.2,62.6,0.0,3.0,19.6,87.8,84.2,151.0,50.6,209.0,94.2,12.0,7.0,5.0,0.0,1.0,2.0,8.0,6.0,8.0,7.0,15.0,12.0,10.1,12.0,15.4,16.3,20.3,18.8,17.9,13.4,11.6,7.3,8.1,7.8,200.3,252.9,260.7,255.5,337.5,275.6,203.2,199.7,178.6,0.0,0.0,211.7,1.7,1.9,1.9,2.0,2.0,1.9,1.3,1.3,1.1,1.2,1.1,1.4,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,79.01672188,1.019,3.826450449,0.314002148,50.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,True,NO_TARGET_MAX,True,False,True,26392.0
92,Tasman,0.0,0.0,0.0,0.0,1200.0,100.0,2020,85.4,72.4,276.4,96.6,1.0,26.4,25.8,58.4,113.8,122.0,83.6,0.0,9.0,10.0,14.0,6.0,1.0,4.0,7.0,7.0,6.0,10.0,6.0,0.0,11.8,13.8,15.9,17.5,17.5,18.2,15.2,12.3,10.1,9.6,7.8,9.8,229.8,188.5,176.3,240.7,297.1,255.7,0.0,207.0,180.7,139.8,156.2,178.0,1.7,1.5,1.7,2.0,1.8,1.8,1.6,1.3,1.1,1.2,1.2,1.2,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,79.01672188,1.019,3.826450449,0.314002148,50.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,True,NO_TARGET_MAX,True,False,True,25723.0
93,Tasman,0.0,0.0,0.0,0.0,200.0,100.0,2021,212.4,98.2,42.0,0.0,12.4,19.4,101.6,111.6,189.4,94.4,273.4,149.4,10.0,10.0,4.0,0.0,5.0,5.0,8.0,8.0,11.0,10.0,11.0,12.0,10.3,13.0,15.7,0.0,18.6,18.3,16.9,14.7,11.7,10.8,8.4,9.5,217.2,227.3,240.3,213.7,282.6,235.9,182.0,185.5,167.2,124.5,0.0,192.9,1.7,1.6,1.8,1.9,1.8,1.8,1.4,1.3,1.3,1.2,1.3,1.5,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,79.01672188,1.019,3.826450449,0.314002148,50.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,True,NO_TARGET_MAX,True,False,True,23131.0
94,Tasman,0.0,0.0,0.0,0.0,800.0,100.0,2022,86.6,28.6,166.2,100.8,24.0,181.8,50.2,37.0,133.6,165.4,364.4,276.0,12.0,5.0,11.0,12.0,1.0,11.0,5.0,3.0,13.0,17.0,13.0,11.0,10.9,12.4,15.5,17.3,19.0,18.2,16.8,14.0,11.7,9.0,8.2,0.0,174.5,235.8,250.6,253.2,316.1,146.8,251.6,195.8,165.2,144.2,122.3,145.7,1.5,1.8,1.8,1.7,1.9,1.8,1.4,1.3,1.1,1.2,1.3,1.3,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,79.01672188,1.019,3.826450449,0.314002148,50.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,True,NO_TARGET_MAX,True,False,True,28759.0
95,Tasman,0.0,0.0,0.0,0.0,1300.0,100.0,2023,0.0,45.6,0.0,41.8,128.2,66.2,56.2,146.4,366.8,138.6,55.0,73.6,0.0,5.0,0.0,5.0,7.0,6.0,9.0,8.0,16.0,11.0,5.0,5.0,0.0,0.0,0.0,18.4,18.5,19.0,16.4,14.0,12.5,10.4,8.8,7.5,213.5,277.6,246.5,251.0,195.4,222.0,264.5,191.2,123.2,168.0,205.0,216.2,1.8,1.9,1.9,2.0,1.6,1.7,1.6,1.2,1.3,1.1,1.3,1.3,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,79.01672188,1.019,3.826450449,0.314002148,50.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,True,NO_TARGET_MAX,True,False,True,18085.0
114,Waikato,0.0,0.0,2000.0,400.0,37200.0,3300.0,2019,124.4,55.8,44.0,59.4,31.8,18.0,46.8,82.6,61.8,72.2,125.8,130.8,15.0,13.0,9.0,5.0,4.0,2.0,7.0,9.0,9.0,9.0,16.0,20.0,11.5,13.3,16.3,17.9,19.8,19.7,19.0,13.8,12.4,9.1,10.0,10.3,146.8,155.0,242.7,245.3,272.0,0.0,192.0,209.5,130.6,0.0,126.9,145.8,3.9,4.4,3.4,3.5,3.6,3.0,2.4,2.6,2.6,2.6,2.9,3.9,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,390.7407687,0.728666667,10.43460142,1.074549114,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,False,NO_TARGET_MAX,True,NO_TARGET_MAX,False,408497.0
115,Waikato,1400.0,100.0,3000.0,500.0,25500.0,2500.0,2020,72.0,60.6,165.6,34.8,9.4,17.8,74.4,76.4,77.2,111.0,105.8,0.0,12.0,11.0,14.0,7.0,2.0,2.0,8.0,8.0,8.0,12.0,11.0,0.0,11.4,14.0,15.7,16.6,18.3,20.0,17.0,14.4,11.3,11.1,9.3,10.4,168.1,148.2,176.5,245.3,279.3,0.0,199.4,195.1,153.7,88.3,116.8,146.1,4.0,2.9,3.8,3.4,3.4,2.9,3.1,2.6,2.5,3.0,3.0,3.3,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,390.7407687,0.728666667,10.43460142,1.074549114,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,False,NO_TARGET_MAX,True,NO_TARGET_MAX,False,378878.0
116,Waikato,0.0,0.0,3700.0,600.0,0.0,0.0,2021,177.6,115.0,69.8,78.4,76.6,41.6,172.2,64.8,69.4,126.8,104.2,143.4,12.0,14.0,7.0,8.0,9.0,4.0,9.0,10.0,12.0,16.0,9.0,13.0,11.1,14.2,17.2,19.3,18.2,19.1,17.4,14.8,11.8,11.0,8.9,9.8,146.7,141.0,199.3,0.0,256.9,208.3,178.9,154.4,141.5,100.2,145.1,122.5,3.6,3.7,3.3,3.2,2.9,2.9,2.7,2.6,3.0,2.8,3.1,3.2,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,390.7407687,0.728666667,10.43460142,1.074549114,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,False,NO_TARGET_MAX,True,NO_TARGET_MAX,False,361951.0
117,Waikato,0.0,0.0,1000.0,200.0,36400.0,3100.0,2022,162.4,174.2,201.6,103.6,5.6,91.2,67.0,23.4,180.4,205.0,228.6,0.0,12.0,9.0,16.0,13.0,1.0,4.0,3.0,5.0,11.0,17.0,21.0,0.0,11.5,13.7,16.4,18.6,19.8,20.8,18.4,15.3,12.6,10.9,10.9,10.7,157.0,174.0,180.1,233.8,313.1,197.9,236.2,212.5,176.5,130.8,0.0,141.0,3.1,3.2,3.7,3.1,2.9,3.2,3.2,2.8,2.9,3.2,3.6,2.9,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,390.7407687,0.728666667,10.43460142,1.074549114,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,False,NO_TARGET_MAX,True,NO_TARGET_MAX,False,363412.0
118,Waikato,0.0,0.0,1800.0,300.0,41600.0,3700.0,2023,142.4,73.0,0.0,89.8,234.8,127.4,60.6,54.8,214.2,165.6,47.0,95.6,14.0,14.0,0.0,10.0,14.0,8.0,8.0,8.0,18.0,13.0,8.0,11.0,12.7,14.0,15.4,18.5,19.5,19.2,16.0,15.6,13.8,10.3,10.1,8.4,172.8,199.0,210.9,154.7,156.8,177.7,244.4,155.3,118.0,148.1,128.9,198.9,4.1,3.9,3.4,3.3,3.7,3.7,2.7,3.3,3.5,3.0,4.2,2.7,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,390.7407687,0.728666667,10.43460142,1.074549114,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,False,NO_TARGET_MAX,True,NO_TARGET_MAX,False,265429.0
122,Wellington,0.0,0.0,0.0,0.0,5000.0,400.0,2019,45.0,76.8,49.4,58.2,12.2,28.6,21.2,82.4,13.2,25.6,80.4,74.6,7.0,10.0,5.0,7.0,4.0,4.0,3.0,11.0,2.0,2.0,12.0,10.0,10.6,11.8,16.2,16.8,20.0,18.2,17.6,13.0,12.5,8.5,9.7,8.9,151.8,180.4,215.5,182.4,272.5,227.8,178.7,111.7,159.9,95.7,90.6,164.0,4.1,4.4,4.7,5.0,3.9,3.8,3.1,2.8,3.5,2.9,2.9,3.6,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,150.0,0.76,8.51,0.786934425,20.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,False,False,True,False,False,55252.0
123,Wellington,0.0,0.0,0.0,0.0,0.0,0.0,2020,112.4,19.3,185.6,0.0,5.4,22.6,99.8,7.3,63.1,109.0,93.2,17.4,9.0,6.0,14.0,0.0,2.0,2.0,6.0,4.0,4.0,12.0,7.0,4.0,11.3,13.7,14.8,16.2,18.0,20.1,16.4,14.0,10.9,10.4,8.7,9.8,168.5,0.0,138.4,160.9,197.5,0.0,148.4,179.1,130.0,81.8,118.5,149.8,5.7,4.1,3.8,4.5,3.8,4.0,3.3,3.6,2.3,2.5,2.9,2.9,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,150.0,0.76,8.51,0.786934425,20.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,False,False,True,False,False,56126.0
124,Wellington,0.0,0.0,0.0,0.0,0.0,0.0,2021,56.4,43.8,6.6,163.4,4.4,24.0,58.8,10.6,43.2,120.4,55.8,138.4,10.0,7.0,3.0,11.0,1.0,2.0,4.0,4.0,8.0,11.0,10.0,14.0,10.9,13.7,16.5,18.4,18.5,17.5,16.4,13.9,11.2,11.0,8.8,9.3,141.1,158.0,198.1,148.3,228.9,220.3,146.8,163.3,113.8,65.1,136.3,127.7,4.8,4.0,4.6,4.0,4.3,3.0,3.2,3.1,2.9,3.2,2.7,3.9,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,150.0,0.76,8.51,0.786934425,20.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,False,False,True,False,False,54327.0
125,Wellington,1700.0,200.0,11600.0,1900.0,3700.0,300.0,2022,88.6,43.0,76.0,109.0,7.4,249.0,29.4,6.4,42.2,73.8,195.7,65.8,14.0,6.0,7.0,9.0,3.0,10.0,4.0,2.0,8.0,11.0,14.0,6.0,11.0,12.2,16.6,17.3,18.3,18.0,16.7,13.9,12.2,10.2,9.3,10.8,118.5,158.7,181.8,167.8,264.0,101.2,134.1,171.7,129.2,83.5,70.0,90.1,3.7,4.2,4.3,2.9,3.2,3.1,2.7,2.8,2.7,3.3,3.6,3.6,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,150.0,0.76,8.51,0.786934425,20.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,False,False,True,False,False,54058.0
126,Wellington,0.0,0.0,0.0,0.0,0.0,0.0,2023,52.8,30.8,29.2,30.4,76.4,106.2,93.0,84.8,80.4,23.2,76.0,96.2,8.0,9.0,8.0,5.0,8.0,9.0,11.0,10.0,9.0,8.0,11.0,12.0,12.3,12.6,14.7,18.0,18.0,18.2,15.6,14.5,13.3,9.8,8.8,8.1,143.1,195.1,132.9,141.5,137.4,135.3,168.8,115.3,85.7,95.1,108.7,126.6,4.9,4.5,3.8,4.4,2.7,3.4,4.0,2.7,2.5,2.4,2.9,3.1,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,150.0,0.76,8.51,0.786934425,20.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,False,False,True,False,False,37378.0
